"","Y","D","X","Z"
"1",-1.65608,0,0.36122,-0.09945
"2",2.92697,0,1.13518,-1.46538
"3",-2.11824,1,-0.46713,-2.21925
"4",0.05609,0,0.33076,0.57311
"5",3.65723,0,-0.9456,-0.15322
"6",-1.47069,0,1.33151,0.30285
"7",0.19221,1,0.20875,-0.51301
"8",-1.48434,0,1.05731,0.41257
"9",4.38043,1,-1.44773,1.3269
"10",0.23933,0,0.6202,0.35023
"11",2.59719,0,0.75141,0.55027
"12",-1.61771,0,-1.12945,-1.79088
"13",-2.37593,0,-1.07509,-0.02471
"14",-0.31234,0,0.2816,0.14683
"15",-2.5498,0,-0.1025,-0.41575
"16",-0.24251,0,0.99869,-0.15834
"17",-1.42295,1,-0.53354,0.48744
"18",-2.95757,1,1.65198,0.47497
"19",1.39102,1,-2.40659,0.82619
"20",1.11499,1,-1.857,-0.07752
"21",1.93654,0,0.74147,0.73535
"22",1.84616,0,-1.74303,-0.89703
"23",3.50914,1,-0.17201,0.54189
"24",1.46876,0,0.98492,-0.24802
"25",1.65528,0,0.79621,-1.9387
"26",-1.92936,1,1.63144,-0.02277
"27",3.26318,0,-1.10102,0.68592
"28",3.3688,0,-1.98863,0.81616
"29",1.53999,1,1.03528,-0.93208
"30",4.80412,1,-0.85056,-0.08372
"31",0.54585,1,0.53289,-0.31308
"32",2.51017,0,1.16324,0.03048
"33",5.01657,0,1.08962,-0.90189
"34",2.54171,0,-0.63986,-0.17519
"35",3.38914,0,-0.01935,0.81814
"36",2.20923,0,0.12932,-0.34869
"37",-2.39897,0,-0.20977,0.44352
"38",0.15509,1,0.41669,1.59454
"39",-0.77129,1,0.14541,0.07499
"40",0.06184,1,-0.09239,-1.31679
"41",3.40665,0,1.72032,0.05584
"42",6.06951,1,-0.36722,-0.26105
"43",2.22264,1,0.50145,0.55124
"44",4.22449,0,0.2149,1.14537
"45",0.84466,1,-0.31633,0.37434
"46",1.30415,0,-0.39228,-1.2247
"47",-2.20228,0,-1.63654,0.48313
"48",-1.06663,0,0.9927,-1.9227
"49",-1.52489,0,0.64545,-0.78201
"50",1.12696,1,0.16271,-0.52856
"51",5.39268,1,-1.10225,0.06711
"52",2.03231,1,2.93359,-0.60485
"53",0.86183,1,0.18875,1.78139
"54",1.61293,1,0.09196,-0.60407
"55",-0.24821,0,-1.61007,0.73969
"56",-2.11874,0,-0.50646,0.0371
"57",1.64469,0,0.44446,0.13301
"58",-0.38847,0,-0.09849,0.37812
"59",2.29164,1,-1.52657,-0.68479
"60",0.51496,0,-0.95818,-0.63703
"61",0.57004,1,-0.7774,1.56985
"62",1.16329,1,0.17377,0.31461
"63",-1.19483,0,0.01814,0.80617
"64",1.09308,0,1.05126,-3.49591
