"","Y","D","X","Z"
"1",1.81819,1,0.36122,-0.09945
"2",0.69755,0,1.13518,-1.46538
"3",8.20546,1,-0.46713,-2.21925
"4",3.55907,1,0.33076,0.57311
"5",1.04351,0,-0.9456,-0.15322
"6",0.07622,0,1.33151,0.30285
"7",-3.77957,0,0.20875,-0.51301
"8",10.78257,1,1.05731,0.41257
"9",0.01964,0,-1.44773,1.3269
"10",2.09223,0,0.6202,0.35023
"11",5.30337,1,0.75141,0.55027
"12",-0.00025,0,-1.12945,-1.79088
"13",3.66208,1,-1.07509,-0.02471
"14",3.31499,1,0.2816,0.14683
"15",7.30383,1,-0.1025,-0.41575
"16",3.33501,1,0.99869,-0.15834
"17",1.9061,0,-0.53354,0.48744
"18",3.69873,1,1.65198,0.47497
"19",-0.79803,0,-2.40659,0.82619
"20",6.28985,1,-1.857,-0.07752
"21",17.52003,1,0.74147,0.73535
"22",-0.88763,0,-1.74303,-0.89703
"23",-4.55622,1,-0.17201,0.54189
"24",1.76507,0,0.98492,-0.24802
"25",0.92613,0,0.79621,-1.9387
"26",-0.92971,0,1.63144,-0.02277
"27",-4.23466,1,-1.10102,0.68592
"28",-0.10635,0,-1.98863,0.81616
"29",16.40721,1,1.03528,-0.93208
"30",2.29514,0,-0.85056,-0.08372
"31",-1.38299,0,0.53289,-0.31308
"32",5.9139,1,1.16324,0.03048
"33",13.50604,1,1.08962,-0.90189
"34",-3.66319,0,-0.63986,-0.17519
"35",-2.83698,1,-0.01935,0.81814
"36",7.57553,1,0.12932,-0.34869
"37",-3.04732,0,-0.20977,0.44352
"38",10.78881,1,0.41669,1.59454
"39",-2.17688,0,0.14541,0.07499
"40",-5.67358,1,-0.09239,-1.31679
"41",1.29754,0,1.72032,0.05584
"42",7.09877,1,-0.36722,-0.26105
"43",1.8567,0,0.50145,0.55124
"44",3.40912,1,0.2149,1.14537
"45",-4.45683,1,-0.31633,0.37434
"46",-0.62385,0,-0.39228,-1.2247
"47",7.35601,1,-1.63654,0.48313
"48",-0.30068,0,0.9927,-1.9227
"49",2.3543,0,0.64545,-0.78201
"50",6.34847,1,0.16271,-0.52856
"51",9.70482,1,-1.10225,0.06711
"52",-0.22689,0,2.93359,-0.60485
"53",4.0859,1,0.18875,1.78139
"54",-0.03824,0,0.09196,-0.60407
"55",3.73051,1,-1.61007,0.73969
"56",13.97075,1,-0.50646,0.0371
"57",5.21605,1,0.44446,0.13301
"58",13.25935,1,-0.09849,0.37812
"59",-1.25669,0,-1.52657,-0.68479
"60",1.64026,0,-0.95818,-0.63703
"61",5.3234,1,-0.7774,1.56985
"62",3.29776,0,0.17377,0.31461
"63",-2.82252,0,0.01814,0.80617
"64",3.19068,0,1.05126,-3.49591
"65",0.82182,0,0.38884,-1.10657
"66",12.69483,1,0.03972,0.18006
"67",-0.08182,0,2.00199,0.55159
"68",19.11381,1,3.48688,-0.24157
"69",9.91751,1,0.08328,0.5102
"70",-0.31695,0,0.32273,2.29868
"71",3.33772,1,-0.98457,-0.11978
"72",3.69995,1,-0.58774,2.61049
"73",-4.23655,0,0.8905,-1.73734
"74",15.57584,1,-0.81102,0.93695
"75",0.47685,0,0.75836,-0.38503
"76",-2.00198,0,1.03111,-0.2372
"77",-0.52591,0,0.36829,-0.40163
"78",-2.32771,0,0.27603,-1.92279
"79",5.54163,1,0.64109,-1.68625
"80",-1.58807,0,0.37755,-0.15056
"81",1.05927,0,-2.07022,-0.32826
"82",-2.615,1,-0.56614,-0.1496
"83",-2.07553,0,0.20222,0.01985
"84",10.42028,1,0.03995,-1.94409
"85",10.94172,1,-0.15762,0.63723
"86",-1.45399,1,1.58481,-1.09797
"87",2.21825,1,-0.41123,2.66081
"88",5.82065,1,-0.8175,-1.46061
"89",0.0729,0,0.23567,-0.51394
"90",-0.28597,0,1.15619,0.16959
"91",6.75533,1,-1.77401,1.2698
"92",-5.43259,1,-2.07132,0.46646
"93",7.87847,1,0.96071,0.87093
"94",1.07364,0,-0.07957,-0.02395
"95",-3.10406,0,-1.63793,1.1949
"96",4.17858,1,1.66632,0.36354
"97",4.05692,0,-0.43999,0.13167
"98",5.45402,1,0.78125,0.75315
"99",4.49859,1,-0.03853,0.9591
"100",16.14676,1,-0.84981,-1.27253
"101",19.21164,1,0.48688,0.61543
"102",4.23645,1,1.5773,2.16346
"103",8.47139,1,-1.64578,0.84798
"104",7.11557,1,-1.60366,-0.88723
"105",-0.44791,0,-0.34303,-0.27832
"106",15.07578,1,1.19665,0.44676
"107",0.62925,0,-0.29928,-1.83613
"108",1.95768,1,0.85945,-0.02343
"109",-2.97377,0,1.03594,-0.40623
"110",11.55264,1,0.18634,0.53805
"111",3.0994,1,-0.42232,1.98518
"112",-1.34976,0,-0.45843,-0.59255
"113",0.67759,0,-2.05782,-0.27757
"114",0.17952,0,1.03836,-0.32225
"115",-1.52944,0,-0.86368,0.83819
"116",3.24428,1,0.61716,-0.57462
"117",-2.0722,0,-2.12949,-0.04491
"118",-0.5408,0,0.81755,-1.62422
"119",2.61948,1,0.59779,-0.70531
"120",8.77384,1,-0.84771,0.61688
"121",-1.29428,0,-0.65989,0.35823
"122",-0.74096,0,-0.5097,-0.52334
"123",2.46983,0,-0.00836,0.82474
"124",1.99451,1,-1.3394,-1.31387
"125",-2.5023,1,0.93268,0.26884
"126",1.5533,0,0.07997,1.50477
"127",-4.59298,1,-0.85171,0.58425
"128",-0.98289,0,0.47298,0.34644
"129",-1.20314,0,0.59878,-0.33654
"130",4.67007,1,1.44668,1.4553
"131",2.13213,0,-0.61327,0.82989
"132",16.60512,1,-1.58808,1.1491
"133",-1.3835,0,-1.51182,-1.36668
"134",-3.46609,1,-0.5558,-0.61878
"135",0.00292,1,-1.01644,-2.56013
"136",2.10966,0,0.26981,-0.52669
"137",8.90683,1,1.29467,-1.511
"138",11.98911,1,-1.58538,0.30271
"139",14.16708,1,-0.82549,2.11181
"140",1.15583,0,-0.10709,1.12672
"141",6.08124,1,0.13181,-0.78495
"142",7.54849,1,1.53077,-0.58654
"143",9.17864,1,-1.50549,-0.86928
"144",0.31893,0,-0.90883,-1.51723
"145",5.95077,1,0.6338,0.20095
"146",-0.40907,0,-0.14387,-0.35742
"147",-1.05549,0,-1.7288,0.6686
"148",7.83943,1,-0.30507,-0.29205
"149",-0.69014,0,0.85001,1.11518
"150",0.9338,0,1.42064,-1.86588
"151",-0.95131,0,-2.91152,-0.86445
"152",-0.89391,0,-1.88742,1.28025
"153",9.85578,1,0.37269,-0.14751
"154",-0.15236,0,0.70157,-2.03484
"155",2.21947,0,-0.34203,0.65098
"156",0.77926,0,-0.73122,0.82885
"157",2.30209,1,1.6917,-1.33131
"158",5.38925,1,-0.86408,-0.18787
"159",7.96223,1,-0.63487,1.46375
"160",4.19406,1,-1.36015,-0.29587
"161",-0.4168,0,0.49125,0.40781
"162",-0.55139,0,0.84086,0.55586
"163",-1.29906,0,0.00355,-0.81887
"164",1.56246,1,-0.55686,0.62506
"165",1.28524,0,-0.07525,1.01944
"166",-3.8488,1,-0.85543,0.5013
"167",6.46105,1,0.68489,-2.65714
"168",-1.35661,1,2.23447,0.79765
"169",4.23027,1,-0.04522,-0.41044
"170",5.19119,1,-0.41355,1.16028
"171",12.27468,1,0.74464,1.34165
"172",-2.66879,0,0.9506,0.00167
"173",2.71446,1,-0.82624,1.13574
"174",3.89055,1,0.76911,-0.63485
"175",12.3921,1,0.99154,0.06269
"176",-0.90429,0,-1.51031,-0.25843
"177",3.08477,1,0.80333,-0.83696
"178",0.19112,0,-0.02938,-0.27059
"179",-2.20974,0,-0.15009,-0.25643
"180",14.4287,1,-0.68134,-1.72089
"181",12.4772,1,-0.62313,0.83506
"182",7.77206,1,-0.67884,0.74108
"183",6.26337,1,1.35312,0.75778
"184",-3.06191,0,-0.88983,-0.95614
"185",7.75567,1,0.51009,-0.2877
"186",-1.90592,0,1.24018,1.02492
"187",-6.85293,1,0.73618,0.12193
"188",12.22452,1,-0.27742,1.0275
"189",1.11427,1,0.55277,0.65862
"190",-1.70044,0,0.17736,0.96312
"191",-1.28583,0,-0.90629,-0.34527
"192",-3.69406,1,0.18036,0.61403
"193",10.71859,1,-0.6843,-0.70094
"194",-1.07519,1,-0.30921,-2.00631
"195",5.10887,1,0.31872,-0.47784
"196",3.82625,1,2.10953,-0.36255
"197",-0.29723,0,0.71359,0.89647
"198",1.353,0,1.11106,-0.95095
"199",18.18771,1,-3.23072,0.66235
"200",12.67901,1,-0.0776,-1.55963
"201",6.06689,1,2.22877,-1.84107
"202",-5.56097,1,-1.90749,2.23654
"203",0.65819,0,-1.08411,0.44404
"204",-0.03411,0,0.68534,2.72759
"205",-0.14442,0,1.59857,0.63606
"206",13.81431,1,-3.04358,0.0985
"207",12.89978,1,-1.095,0.34562
"208",3.14601,1,-1.28437,0.43223
"209",0.1662,0,-0.43996,0.01841
"210",11.96694,1,0.55521,-0.94268
"211",-2.57242,0,-0.31059,-2.27723
"212",-1.77623,0,0.37553,0.33878
"213",-3.65507,1,-0.91665,-0.85715
"214",8.21217,1,1.07663,-0.25357
"215",8.63072,1,-1.12332,-1.21168
"216",8.92237,1,-0.32063,-0.68534
"217",7.77621,1,-0.26475,-0.11674
