"","Y","D","X","Z"
"1",0.17557,1,0.36122,-0.09945
"2",0.00826,1,1.13518,-1.46538
"3",1.24921,1,-0.46713,-2.21925
"4",-0.43992,1,0.33076,0.57311
"5",0.54595,1,-0.9456,-0.15322
"6",-0.18587,1,1.33151,0.30285
"7",-0.2618,0,0.20875,-0.51301
"8",1.24944,0,1.05731,0.41257
"9",-0.34864,1,-1.44773,1.3269
"10",1.94239,0,0.6202,0.35023
"11",0.82326,1,0.75141,0.55027
"12",1.5032,1,-1.12945,-1.79088
"13",-0.498,0,-1.07509,-0.02471
"14",0.11827,0,0.2816,0.14683
"15",0.21106,0,-0.1025,-0.41575
"16",1.91098,1,0.99869,-0.15834
"17",-1.30688,1,-0.53354,0.48744
"18",-1.38644,0,1.65198,0.47497
"19",1.76804,0,-2.40659,0.82619
"20",0.96814,1,-1.857,-0.07752
"21",-0.85748,0,0.74147,0.73535
"22",1.48953,1,-1.74303,-0.89703
"23",-0.54821,0,-0.17201,0.54189
"24",1.55778,1,0.98492,-0.24802
"25",0.14796,1,0.79621,-1.9387
"26",-1.00996,1,1.63144,-0.02277
"27",-0.05189,1,-1.10102,0.68592
"28",1.2975,0,-1.98863,0.81616
"29",2.92877,1,1.03528,-0.93208
"30",1.24533,1,-0.85056,-0.08372
"31",0.69405,0,0.53289,-0.31308
"32",1.46131,0,1.16324,0.03048
"33",0.74921,0,1.08962,-0.90189
"34",0.76451,0,-0.63986,-0.17519
"35",-1.71499,1,-0.01935,0.81814
"36",1.40736,0,0.12932,-0.34869
"37",2.06829,0,-0.20977,0.44352
"38",-2.45279,1,0.41669,1.59454
"39",0.77199,1,0.14541,0.07499
"40",1.42113,0,-0.09239,-1.31679
"41",0.89855,0,1.72032,0.05584
"42",-1.87834,1,-0.36722,-0.26105
"43",2.72131,0,0.50145,0.55124
"44",-1.20097,0,0.2149,1.14537
"45",0.16656,1,-0.31633,0.37434
"46",-0.55038,1,-0.39228,-1.2247
"47",-0.69358,0,-1.63654,0.48313
"48",1.49912,0,0.9927,-1.9227
"49",0.43515,1,0.64545,-0.78201
"50",-1.50044,0,0.16271,-0.52856
"51",-0.88829,1,-1.10225,0.06711
"52",-0.99034,1,2.93359,-0.60485
"53",-0.83211,1,0.18875,1.78139
"54",0.43951,1,0.09196,-0.60407
"55",2.1854,1,-1.61007,0.73969
"56",-0.46285,0,-0.50646,0.0371
"57",2.05026,1,0.44446,0.13301
"58",2.76928,1,-0.09849,0.37812
"59",1.57477,0,-1.52657,-0.68479
"60",-0.98832,0,-0.95818,-0.63703
"61",0.59449,0,-0.7774,1.56985
"62",-1.18353,1,0.17377,0.31461
"63",-0.0812,0,0.01814,0.80617
"64",0.48065,0,1.05126,-3.49591
"65",1.29945,0,0.38884,-1.10657
"66",0.12369,1,0.03972,0.18006
"67",-0.72481,0,2.00199,0.55159
"68",1.27964,1,3.48688,-0.24157
"69",2.43245,1,0.08328,0.5102
"70",-0.79258,1,0.32273,2.29868
"71",1.44098,1,-0.98457,-0.11978
"72",0.9987,1,-0.58774,2.61049
"73",1.48424,0,0.8905,-1.73734
"74",-0.41678,1,-0.81102,0.93695
"75",0.05754,0,0.75836,-0.38503
"76",1.33751,0,1.03111,-0.2372
"77",1.7201,0,0.36829,-0.40163
"78",0.17197,1,0.27603,-1.92279
"79",-0.31114,1,0.64109,-1.68625
"80",-0.23248,0,0.37755,-0.15056
"81",1.81835,0,-2.07022,-0.32826
"82",0.90462,1,-0.56614,-0.1496
"83",0.82171,0,0.20222,0.01985
"84",1.21157,0,0.03995,-1.94409
"85",1.55113,1,-0.15762,0.63723
"86",0.52842,1,1.58481,-1.09797
"87",0.30702,1,-0.41123,2.66081
"88",0.27612,1,-0.8175,-1.46061
"89",0.7098,1,0.23567,-0.51394
"90",-1.08563,0,1.15619,0.16959
"91",0.28938,1,-1.77401,1.2698
"92",1.58127,1,-2.07132,0.46646
"93",0.20013,1,0.96071,0.87093
"94",1.9549,0,-0.07957,-0.02395
"95",-0.01091,1,-1.63793,1.1949
"96",-0.32814,1,1.66632,0.36354
"97",-0.72421,1,-0.43999,0.13167
"98",0.56791,1,0.78125,0.75315
"99",1.32454,0,-0.03853,0.9591
"100",-1.00035,1,-0.84981,-1.27253
"101",0.53814,0,0.48688,0.61543
"102",1.87375,1,1.5773,2.16346
"103",1.54816,0,-1.64578,0.84798
"104",-0.20516,1,-1.60366,-0.88723
"105",0.88439,0,-0.34303,-0.27832
"106",0.92465,0,1.19665,0.44676
"107",-2.11079,1,-0.29928,-1.83613
"108",0.01031,1,0.85945,-0.02343
"109",0.20575,1,1.03594,-0.40623
"110",0.54749,1,0.18634,0.53805
"111",0.47651,1,-0.42232,1.98518
"112",-0.72552,1,-0.45843,-0.59255
"113",0.9193,1,-2.05782,-0.27757
"114",2.06837,0,1.03836,-0.32225
"115",-1.3264,0,-0.86368,0.83819
"116",1.45311,1,0.61716,-0.57462
"117",-0.94691,1,-2.12949,-0.04491
"118",-1.31673,1,0.81755,-1.62422
"119",0.35468,0,0.59779,-0.70531
"120",-0.58867,0,-0.84771,0.61688
"121",-0.98811,1,-0.65989,0.35823
"122",-0.04082,0,-0.5097,-0.52334
"123",1.29231,1,-0.00836,0.82474
"124",2.03485,1,-1.3394,-1.31387
"125",0.9116,0,0.93268,0.26884
"126",-1.17195,1,0.07997,1.50477
"127",1.48025,1,-0.85171,0.58425
"128",-1.22783,0,0.47298,0.34644
"129",-0.10705,1,0.59878,-0.33654
"130",1.52591,0,1.44668,1.4553
"131",-1.98124,1,-0.61327,0.82989
"132",1.281,1,-1.58808,1.1491
"133",1.81481,0,-1.51182,-1.36668
"134",-1.64052,1,-0.5558,-0.61878
"135",0.55789,1,-1.01644,-2.56013
"136",1.28633,1,0.26981,-0.52669
"137",1.90916,0,1.29467,-1.511
"138",-0.21227,1,-1.58538,0.30271
